5025,0,0.00,0.00,0.00,0.00,0.00,180,180,0,0
5027,0,0.00,0.00,0.00,0.00,0.00,180,180,1,1
5028,0,0.00,0.00,0.00,0.00,0.00,180,180,3,3
5029,0,0.00,0.00,0.00,0.00,0.00,180,180,4,4
5031,0,0.00,0.00,0.00,0.00,0.00,180,180,18,18
5042,0,0.00,0.00,0.00,0.00,0.00,180,180,20,20
5043,0,0.00,0.00,0.00,0.00,0.00,180,180,21,21
5045,0,0.00,0.00,0.00,0.00,0.00,180,180,22,22
5056,0,0.00,0.00,0.00,0.00,0.00,180,180,37,37
5058,0,0.00,0.00,0.00,0.00,0.00,180,180,38,38
5059,0,0.00,0.00,0.00,0.00,0.00,180,180,40,40
5060,0,0.00,0.00,0.00,0.00,0.00,180,180,54,54
5072,0,0.00,0.00,0.00,0.00,0.00,180,180,55,55
5073,0,0.00,0.00,0.00,0.00,0.00,180,180,57,57
5074,0,0.00,0.00,0.00,0.00,0.00,180,180,58,58
5076,0,0.00,0.00,0.00,0.00,0.00,180,180,73,73
5087,0,0.00,0.00,0.00,0.00,0.00,180,180,74,74
5089,0,0.00,0.00,0.00,0.00,0.00,180,180,75,75
5090,0,0.00,0.00,0.00,0.00,0.00,180,180,78,78
5091,0,0.00,0.00,0.00,0.00,0.00,180,180,91,91
5103,0,0.00,0.00,0.00,0.00,0.00,180,180,92,92
5104,0,0.00,0.00,0.00,0.00,0.00,180,180,94,94
5105,0,0.00,0.00,0.00,0.00,0.00,180,180,107,107
5117,0,0.00,0.00,0.00,0.00,0.00,180,180,110,110
5118,0,0.00,0.00,0.00,0.00,0.00,180,180,111,111
5120,0,0.00,0.00,0.00,0.00,0.00,180,180,112,112
5121,0,0.00,0.00,0.00,0.00,0.00,180,180,127,127
5132,0,0.00,0.00,0.00,0.00,0.00,180,180,128,128
5134,0,0.00,0.00,0.00,0.00,0.00,180,180,129,129
5135,0,0.00,0.00,0.00,0.00,0.00,180,180,143,143
5147,0,0.00,0.00,0.00,0.00,0.00,180,180,145,145
5148,0,0.00,0.00,0.00,0.00,0.00,180,180,147,147
5149,0,0.00,0.00,0.00,0.00,0.00,180,180,148,148
5151,0,0.00,0.00,0.00,0.00,0.00,180,180,161,161
